month_year,visit_this_month,scheduled_this_month,unscheduled_this_month,enrolled_this_month,distinct_patients,active_in_care_this_month,avg_days_since_rtc_date,LTFU_since_2015,LTFU_past_year,LTFU_past_6months,LTFU_this_month,deaths_this_month,deaths_past_year,transfer_out_this_month,transfer_out_past_year,art_revisit_this_month,pre_art_this_month,on_art_this_month,started_art_this_month,had_med_change_this_month,ltfu,active,dead,ltfu_to_ltfu,null_to_ltfu,active_to_ltfu,dead_to_ltfu,ltfu_to_active,null_to_active,active_to_active,dead_to_active,ltfu_to_dead,null_to_dead,active_to_dead,dead_to_dead,on_original_first_line_this_month,on_alt_first_line_this_month,on_second_line_or_higher_this_month,vl_suppressed_encounters_this_month,vl_unsuppressed_encounters_this_month,vl_suppressed_patients_this_month,vl_unsuppressed_patients_this_month,vl_suppressed_patients_past_year,vl_unsuppressed_patients_past_year,vl_suppressed_encounters_past_year,vl_unsuppressed_encounters_past_year,due_for_vl_this_month,qualifies_for_follow_up_vl,got_follow_up_vl_this_month,follow_up_vl_suppressed_this_month,follow_up_vl_unsuppressed_this_month,follow_up_vl_unsuppressed,follow_up_vl_suppressed,avg_num_days_to_follow_vl
10-2020,31856,15099,16332,440,235429,70479,1817.5349,161431,5555,1024,125673,41,960,722,5440,69985,17,70427,443,3149,125673,70479,24107,125114,0,0,0,361,0,68969,0,3,0,60,24038,5291,56163,8918,4578,307,4578,307,62223,2906,62220,2906,92461,3942,349,249,100,249,249,120.2017
09-2020,29762,14543,14757,535,234128,69645,1813.2418,161098,5693,811,125910,53,947,848,5191,69024,9,69585,563,4187,125910,69645,23986,125397,0,0,0,433,0,67786,0,3,0,55,23923,5967,54709,8880,5264,382,5264,382,60682,2994,60678,2994,92965,4063,327,224,103,224,224,120.3826
08-2020,27709,13818,13467,482,233383,69127,1801.2376,160758,6126,1056,126003,48,942,907,5127,68578,18,69070,493,2414,126003,69127,23874,125527,0,0,0,521,0,67230,0,4,0,61,23803,7199,53063,8784,4737,275,4737,275,58621,3042,58619,3042,94217,4173,225,146,79,146,146,120.1497
07-2020,30809,14928,15446,514,232773,68966,1786.2080,160646,6568,1454,126209,45,941,791,4702,68371,20,68903,533,2944,126209,68966,23778,125462,0,0,0,579,0,66951,0,6,0,63,23706,8058,52179,8647,3378,252,3378,252,56405,3046,56404,3046,95399,4641,264,162,102,162,162,119.1867
06-2020,23429,10401,12598,483,232098,68532,1772.7738,160255,6679,1601,126262,46,928,689,4358,67988,17,68469,481,2230,126262,68532,23649,125533,0,0,0,522,0,66594,0,3,0,46,23594,6839,52991,8614,2433,220,2433,220,56008,3094,56008,3094,94684,4835,207,132,75,132,132,118.4799
05-2020,19087,7724,10996,366,231609,68001,1756.8990,159815,6591,1304,126370,43,930,703,4180,67581,19,67956,375,907,126370,68001,23545,125797,0,0,0,430,0,66362,0,3,0,43,23492,11281,48140,8510,4081,231,4081,231,59350,3154,59350,3154,91570,5230,169,97,72,97,97,117.8424
04-2020,26641,9846,16396,358,231121,68009,1737.3694,159376,6701,1527,126501,37,912,684,4016,67591,27,67964,373,1279,126501,68009,23451,125742,0,0,0,450,0,66329,1,0,0,41,23402,11684,47776,8480,4982,320,4982,320,60987,3196,60987,3196,89362,5416,263,159,104,159,159,117.7548
03-2020,29452,11503,17499,530,230619,68295,1722.8497,158809,6533,1722,126338,37,928,867,3916,67687,39,68235,548,1616,126338,68295,23380,125649,0,0,0,764,0,65993,0,7,0,45,23323,11818,47892,8494,5193,389,5193,389,62107,3241,62106,3241,87387,5490,441,307,134,307,307,117.4569
02-2020,29709,13897,15309,496,229871,67653,1710.4158,158730,6757,2264,126459,42,926,793,3690,67059,62,67553,495,1660,126459,67653,23283,125484,0,0,0,612,0,65602,0,4,0,45,23223,11674,47411,8446,2465,261,2465,261,60638,3401,60638,3400,87601,5878,299,207,92,207,207,117.3153
01-2020,32691,16170,16021,571,229148,67534,1697.8201,158149,6605,2157,126085,37,922,794,3502,66873,56,67444,573,1992,126085,67534,23190,124905,0,0,0,468,0,64988,0,2,0,29,23154,11838,47166,8421,4847,460,4847,460,61504,3531,61503,3531,85978,5978,532,362,170,362,362,117.5587
12-2019,21657,10284,11059,343,228349,66355,1685.2873,157281,6515,1814,125393,15,940,433,3194,65933,61,66265,333,1437,125393,66355,23137,124530,0,0,0,278,0,65007,0,3,0,34,23096,11656,46356,8231,2015,264,2015,264,61479,3743,61479,3743,85052,5978,311,202,109,202,202,117.6872
11-2019,30750,15562,14821,413,227919,67616,1665.3600,156450,6195,1532,124818,38,1019,498,3095,67101,60,67526,426,1835,124818,67616,23095,124157,0,0,0,278,0,66128,0,2,0,45,23040,12347,46828,8332,2560,329,2560,329,60729,3928,60729,3928,84842,6106,458,316,142,316,316,117.7533
10-2019,30916,15499,14977,554,227381,68198,1650.4495,155998,6441,1636,124572,49,1058,401,2970,67525,76,68087,562,1790,124572,68198,23020,123887,0,0,0,388,0,66449,0,13,0,73,22924,12974,46810,8276,3367,414,3367,414,60661,4162,60660,4162,84050,6247,640,429,211,429,429,118.2473
09-2019,31150,15203,15296,822,226641,68061,1636.4921,155554,6561,1644,124575,70,1050,582,2970,67110,76,67941,838,1907,124575,68061,22898,123869,0,0,0,771,0,65211,0,10,0,56,22814,13210,46519,8168,1907,288,1907,288,59223,4582,59222,4582,84350,6246,371,252,119,252,252,118.6523
08-2019,35439,18540,16399,620,225674,66711,1625.7054,155491,6821,1669,124829,57,965,417,2821,65985,56,66617,633,2066,124829,66711,22716,124018,0,0,0,558,0,64404,0,7,0,66,22629,12825,45772,7990,6059,580,6059,580,59906,4775,59906,4775,83371,6325,741,496,245,496,496,119.0758
07-2019,35064,19552,14987,697,224934,66249,1612.1174,155012,6918,1785,124598,67,955,396,2896,65406,68,66119,714,2460,124598,66249,22617,123690,0,0,0,649,0,63674,0,4,0,67,22534,12901,45275,7915,4681,652,4681,652,58814,4987,58813,4987,83533,6393,589,364,225,364,364,120.1071
06-2019,34498,19434,14542,537,223993,65745,1601.9183,154508,6891,1976,124415,63,937,425,3024,65082,79,65623,543,2333,124415,65745,22501,123570,0,0,0,545,0,63521,0,13,0,36,22436,13012,44733,7852,6225,528,6225,528,59045,5039,59045,5039,82727,6459,547,366,181,366,366,120.4668
05-2019,37616,22223,14978,473,223135,65182,1590.0534,154093,6918,1887,124310,38,906,482,3080,64563,88,65040,479,4060,124310,65182,22382,123085,0,0,0,583,0,62831,0,9,0,43,22322,13159,43943,7900,7050,798,7050,798,58845,5084,58845,5084,82560,6862,571,336,235,336,336,120.6263
04-2019,33222,19337,13515,373,222461,64602,1577.9351,153404,6716,1821,123917,37,875,346,3012,64115,61,64503,390,4962,123917,64602,22256,122758,0,0,0,492,0,62382,1,4,0,52,22192,14125,42370,7952,2510,306,2510,306,57021,4857,57020,4857,84004,7224,328,200,128,200,200,120.6539
03-2019,35113,20492,14166,429,221874,64504,1562.9132,152572,6421,1560,123320,39,878,293,3099,63946,63,64400,454,7343,123320,64504,22153,122536,0,0,0,624,0,62318,0,7,0,43,22098,15639,40701,7984,2124,247,2124,247,57259,5045,57259,5045,83257,7539,303,198,105,198,198,120.5056
02-2019,33812,19456,13951,397,221138,64700,1547.5002,152347,6726,1755,123261,46,890,512,3428,64182,72,64583,401,7879,123261,64700,22076,122394,0,1,0,656,0,62469,0,5,0,50,22013,18093,38335,8065,4342,543,4343,543,57157,5243,57154,5243,82789,8031,418,258,160,258,258,120.2623
01-2019,36253,19953,15864,493,220426,64514,1535.2223,152091,6877,1814,123168,48,868,416,3576,63912,57,64414,503,5971,123168,64514,21967,122103,0,0,0,755,0,61490,0,5,0,38,21919,20536,35811,8001,5623,609,5623,609,57330,5346,57329,5346,82145,8517,738,491,247,491,491,119.9185
12-2018,21572,11697,9606,282,219626,63012,1521.6321,151746,6983,1858,122936,25,854,276,3834,62633,56,62914,284,2720,122936,63012,21889,121938,0,0,0,365,0,61485,0,8,0,52,21824,21556,33456,7839,1298,237,1298,237,55509,5638,55509,5638,83138,8542,273,162,111,162,162,119.8278
11-2018,30134,16621,13125,401,219079,63601,1502.4961,151277,6609,1679,122527,58,906,376,4032,62330,90,62739,423,2612,122527,63601,21807,121571,0,0,0,485,0,61415,0,11,0,41,21749,22399,32416,7876,1468,293,1468,293,53962,5771,53962,5771,83694,8635,337,222,115,222,222,119.8671
10-2018,29234,15356,13494,446,218507,63561,1487.1889,150654,6556,1678,122193,48,911,497,4121,62213,159,62549,448,2124,122193,63561,21712,121352,0,0,0,472,0,61428,0,1,0,52,21652,22807,31973,7724,2095,450,2095,450,54028,6016,54028,6016,82641,8632,515,313,202,313,313,119.8132
09-2018,28745,15668,12679,405,217877,66901,1471.7934,150106,6539,1650,121959,50,924,494,4394,66270,120,66671,419,1485,121959,66901,21613,121193,0,766,0,446,0,65832,0,6,0,47,21557,24598,34044,7943,2243,479,2243,479,52528,6230,52527,6230,83154,9085,520,321,199,321,321,120.7355
08-2018,32948,17540,15001,420,217322,66903,1455.3014,149605,6658,1720,121812,96,1008,1206,5003,66315,112,66734,422,1983,121812,66903,21557,120888,0,924,0,591,0,65596,1,4,0,67,21483,24797,33944,7898,5085,863,5085,863,54537,6577,54537,6577,80484,9133,1103,699,404,699,699,120.8107
07-2018,30567,16710,13445,497,216705,66807,1440.8925,149066,6404,1658,121654,159,1102,1878,5798,66161,95,66657,498,1973,121654,66807,21484,120770,0,884,0,565,0,65490,0,10,0,66,21407,25046,33738,7762,6152,1009,6152,1009,53539,6902,53539,6902,80493,9193,939,612,327,612,612,120.6351
06-2018,29037,15252,13366,428,216038,66628,1425.9836,148547,6393,1681,121490,218,1182,2361,6301,66029,99,66465,436,1866,121490,66628,21407,120673,0,817,0,515,0,65451,0,15,0,69,21323,25207,33499,7650,4946,815,4946,815,53821,7013,53821,7013,79549,9165,830,522,308,522,522,120.2220
