"","month_year","visit_this_month","prop_scheduled_visits_this_month","prop_enrollment_visits_this_month","prop_active_on_art_this_month","prop_ltfu","prop_active","prop_dead","prop_ltfu_to_active","prop_vl_suppressed_encounters_this_month","prop_vl_suppressed_encounters_past_year","prop_vl_suppressed_patients_this_month","prop_vl_suppressed_patients_past_year","prop_due_for_vl_this_month","prop_qualifies_for_follow_up_vl","prop_got_follow_up_vl_this_month","prop_follow_up_vl_suppressed_this_month","avg_num_days_to_follow_vl"
"1","10-2020",31856,0.473976644902059,0.0138121546961326,0.999262191574795,0.570569193540332,0.319982384374759,0.109448422084909,0.00512209310574781,0.937154554759468,0.955378804164235,0.937154554759468,0.955380859524943,0.471374240385008,0.0200966597332681,0.99994241976343,0.713467048710602,120.2017
"2","09-2020",29762,0.488643236341644,0.0179759424769841,0.999138488046522,0.573514742121062,0.317230039035989,0.10925521884295,0.00621724459760213,0.932341480694297,0.952977761025254,0.932341480694297,0.952980714869024,0.475390555086804,0.0207767635703511,0.999936466533485,0.685015290519878,120.3826
"3","08-2020",27709,0.498682738460428,0.0173950701937998,0.999175430728948,0.575345655787109,0.315642636664171,0.109011707548721,0.00753685245996499,0.9451316839585,0.950665736851494,0.9451316839585,0.950667336976793,0.48284220775893,0.0213857428381079,0.999904961287268,0.648888888888889,120.1497
"4","07-2020",30809,0.484533740140868,0.0166834366581194,0.999086506394455,0.576420510337835,0.314980840637032,0.108598649025133,0.00839544123191138,0.930578512396694,0.948763666947014,0.930578512396694,0.948764528771593,0.488786986038171,0.0237786601767644,0.999909937429509,0.613636363636364,119.1867
"5","06-2020",23429,0.443937001152418,0.0206154765461607,0.999080721414814,0.578008908502447,0.313729439716539,0.108261651781014,0.00761687970583085,0.917075009423294,0.947649825725018,0.917075009423294,0.947649825725018,0.48607246629773,0.0248210930521474,0.999880105714276,0.63768115942029,118.4799
"6","05-2020",19087,0.404673337873946,0.0191753549536334,0.999338245025808,0.579902347693607,0.312051432662127,0.108046219644267,0.00632343642005265,0.946428571428571,0.949539229489313,0.946428571428571,0.949539229489313,0.471109373311862,0.0269073061310586,0.999840810516149,0.57396449704142,117.8424
"7","04-2020",26641,0.36958072144439,0.0134379340114861,0.999338322869032,0.580383646615679,0.312023710663834,0.107592642720487,0.0066167713096796,0.93964541682384,0.950204882912921,0.93964541682384,0.950204882912921,0.459421109454527,0.0278443267698319,0.999894139242782,0.604562737642586,117.7548
"8","03-2020",29452,0.390567703381774,0.0179953823169904,0.999121458379091,0.579497552898222,0.313261135803828,0.10724131129795,0.011186763306245,0.930311716230742,0.950403231976984,0.930311716230742,0.950403990940809,0.448983471456536,0.0282069330483525,0.999936042791357,0.696145124716553,117.4569
"9","02-2020",29709,0.467770709212696,0.016695277525329,0.998521868948901,0.581701511074312,0.311198509625336,0.107099979300352,0.00904616203272582,0.904255319148936,0.946906524251226,0.904255319148936,0.946891737847249,0.451291007253544,0.0302814869765908,0.999898734379589,0.692307692307692,117.3153
"10","01-2020",32691,0.494631549967881,0.0174665810161818,0.998667337933485,0.581548736445443,0.311490759147452,0.106960504407105,0.00692984274587615,0.913322027510835,0.945705323369315,0.913322027510835,0.945706158222496,0.444057659630511,0.0308750690789644,0.99994196752383,0.680451127819549,117.5587
"11","12-2019",21657,0.474858013575287,0.0158378353419218,0.998643659106322,0.583535379388975,0.308793075365893,0.107671545245131,0.00418958631602743,0.884159719175077,0.942611388795192,0.884159719175077,0.942611388795192,0.443561340926633,0.0311763356071511,0.99989976459603,0.64951768488746,117.6872
"12","11-2019",30750,0.506081300813008,0.0134308943089431,0.998668954093706,0.579123922998761,0.313721123375509,0.10715495362573,0.00411145291055371,0.886119764624438,0.939248650571477,0.886119764624438,0.939248650571477,0.440888824220252,0.0317303594998805,0.999930724538505,0.689956331877729,117.7533
"13","10-2019",30916,0.501326174149308,0.0179195238711347,0.998372386286988,0.577283470040317,0.316038741368924,0.10667778859076,0.00568931640224053,0.890505157365776,0.935793403474129,0.890505157365776,0.935794393965105,0.43601182756653,0.0324064947865332,0.999949367415684,0.6703125,118.2473
"14","09-2019",31150,0.488057784911717,0.0263884430176565,0.998236875743818,0.577983056037563,0.315778485065001,0.106238458897436,0.0113280733459691,0.86879271070615,0.928186320606858,0.86879271070615,0.928187446124912,0.437872464129239,0.0324238460100916,0.999912611826012,0.679245283018868,118.6523
"15","08-2019",35439,0.523152459155168,0.0174948503061599,0.998590937026877,0.582616122769024,0.311361175416324,0.106022701814652,0.00836443764896344,0.912637445398403,0.926176156831218,0.912637445398403,0.926176156831218,0.435266785005743,0.0330218231178866,0.999955438121993,0.669365721997301,119.0758
